SOURCE,DESTINATION
37162,46180
46714,25442
35642,3515
4884,23306
16446,4869
8616,46341
15128,8499
33288,15065
8565,41268
15487,20577
23180,28447
45198,43471
37195,26237
35680,511
13873,39234
11213,42944
16648,43622
23831,34357
26831,6606
257,2189
4383,29158
25298,30517
4894,29342
44286,5570
42692,20900
11226,13924
35549,11819
10517,15425
40534,39698
34815,36577
34826,18526
29329,38585
41945,4787
35008,32399
24331,44569
17436,13539
11943,40156
22003,20743
31090,8003
4410,13954
6655,18192
44963,21453
10170,2802
45314,46130
134,7802
43915,8033
5095,12133
35811,7247
44429,26529
21325,6617
35488,16072
9482,14858
438,39373
6235,32168
30793,33068
27964,47032
2813,8358
3678,3319
15090,42939
32083,2019
31945,24170
29723,44060
22057,15283
5837,15048
32087,14033
23673,8598
37623,13559
24021,2071
43598,46505
10889,33087
1472,24351
35145,6276
16941,18998
7672,32092
26586,19291
28862,5516
39967,28989
46983,14166
4781,41486
39264,12036
17299,6103
16165,3918
39872,36383
12942,9729
15613,19777
46760,44053
34404,37166
20393,8655
46662,30042
6764,12951
17784,14127
6567,22081
22944,40976
15500,28111
26725,9150
19155,248
40091,31357
8598,10277
13636,35064
36968,2589
38663,19586
9611,2344
27697,7032
21588,15385
21996,25910
6157,28822
43450,17122
37401,18948
43118,38754
41601,25421
357,47018
30123,36783
32341,25916
16772,42515
25029,42140
20973,9397
1774,8468
3464,12984
30031,39221
17276,45156
19625,28470
3356,34363
22818,42274
26658,26478
27543,12838
32178,9821
2699,30339
1441,1957
6167,28744
12916,4105
17003,31282
4923,28748
45075,11613
984,41738
879,6765
2803,25261
22026,30540
33764,15467
20869,16524
16414,483
10661,34474
34140,5150
1433,1134
38532,15957
28782,23647
40834,25683
19007,32139
5003,6124
30543,12786
36810,24362
15273,29431
20652,20785
29740,8886
4301,3635
17568,1460
46254,21617
22506,29252
3830,45492
36128,27013
42149,32921
13488,2314
27375,20501
15473,4489
42460,25055
23566,10435
17178,1810
20933,22206
45647,33286
18771,41024
2570,37464
3352,41375
43568,25680
26688,8025
28582,38806
6423,1505
36722,44915
43158,17902
18503,15919
34913,18714
14179,27324
25265,37431
29496,36861
9985,4206
18084,14558
42656,25722
34953,10216
11985,9383
35584,14782
27811,46878
46063,24528
25688,10264
45609,15607
13651,44110
45128,34366
46751,20771
39399,26372
31581,16832
12060,42287
40825,2895
36018,41051
14305,16341
10298,1904
6081,45042
6414,28542
459,21359
32952,27271
18787,16434
42960,36134
42920,30027
25442,34627
26765,2725
45490,10853
39267,19623
36722,31007
39777,39581
5891,40419
33106,5858
4682,19189
15273,47048
4979,40732
2730,9574
34928,44748
42964,1786
25246,41233
172,36110
5033,39217
22262,22443
14658,34543
6405,39058
26794,8534
35826,44255
46938,26528
44818,23580
30698,16792
23919,40301
41882,556
22466,21378
36764,7652
369,19928
34355,42028
15843,38865
7718,35897
21418,7371
45905,13547
41153,37127
18387,47167
25712,28651
16698,45147
7216,38558
33679,15884
26010,16768
14651,1479
31030,38068
4616,26059
6913,38747
11592,4969
6720,7520
35499,11263
9475,25023
20728,18888
46444,8960
41219,29031
23719,42925
28138,41077
25120,7099
11231,24474
9448,18330
34008,35917
597,40340
9623,30252
3683,16559
13595,21655
8862,30047
20253,28970
11619,24810
13311,31730
46033,43261
35610,17523
19424,13801
3523,35790
46859,39553
35375,22390
23212,8601
41032,22833
3224,33992
22385,31941
18646,14844
3774,38434
24402,9675
46152,33722
6269,38704
27270,4926
15716,37718
7387,19531
10334,5509
5373,9495
46949,35159
28661,14158
28364,15480
45644,11967
4394,35247
46842,22144
5235,28570
44453,21551
11393,29272
43602,41484
43513,9787
24650,23929
15841,44307
33551,10068
25962,4810
42037,28937
36141,28640
11260,42101
4285,40492
41552,36045
43342,2240
39546,40055
42619,10720
45586,27548
14412,18881
3697,18078
6627,3641
8679,5238
2428,16305
17211,4915
41637,30503
25743,41017
44802,33244
41093,13628
28039,12041
40477,40653
16330,14825
18251,42702
41153,26114
33152,4308
23219,41712
1572,15923
4538,26464
20935,15564
16981,4854
23356,42827
24409,20787
42957,15037
20390,28567
9881,16765
13714,24369
1314,13884
38598,4093
23043,19745
37476,3481
10682,21772
18457,43546
18331,20654
32336,31928
46227,33331
9312,46130
32612,10253
15154,36597
4168,27355
31109,29153
37705,27727
5136,14337
4889,10332
22136,7715
36880,27786
30197,41762
40415,18539
46387,15171
9422,33773
3046,4193
